,Custome Name,Email,Item Purchased,Feedback,Advanced Personalized Email
10,Maria Stilton,PickleInAPocket@snackbag.net,Workflow Wizard Hat,Incredible! I've never felt so powerful,"Dear Maria Stilton,

Thank you for purchasing the Workflow Wizard Hat.
We're thrilled you're enjoying the Workflow Wizard Hat! Here are some products you might also like based on your purchase:

[Recommended products]

Best regards,
[Your Company]"
11,Evan Richmond,FluffyPillowFighter@dreamland.net,Cloud-connecting Cutlery Set,Great quality and flawless connection,"Dear Evan Richmond,

Thank you for purchasing the Cloud-connecting Cutlery Set.
We're thrilled you're enjoying the Cloud-connecting Cutlery Set! Here are some products you might also like based on your purchase:

[Recommended products]

Best regards,
[Your Company]"
12,Sarah Patterson,SleepySloth@snoozemail.com,In the Node Music Album,Automation never sounded so good!,"Dear Sarah Patterson,

Thank you for purchasing the In the Node Music Album.
We're sorry to hear about your experience with In the Node Music Album. We're here to help. Here are some products you might also like based on your purchase:

[Recommended products]

Best regards,
[Your Company]"
13,Christopher Deen,SneakySnorlax@pokepost.com,Automate THIS! T-Shirt,Quality is fantastic and the fact it automatically cleans itself is great,"Dear Christopher Deen,

Thank you for purchasing the Automate THIS! T-Shirt.
We're thrilled you're enjoying the Automate THIS! T-Shirt! Here are some products you might also like based on your purchase:

[Recommended products]

Best regards,
[Your Company]"
14,Angela Morrison,DiscoDuck@funkyfarm.com,Trigger-happy Trouser Socks,"Be warned, these are too comfortable","Dear Angela Morrison,

Thank you for purchasing the Trigger-happy Trouser Socks.
We're sorry to hear about your experience with Trigger-happy Trouser Socks. We're here to help. Here are some products you might also like based on your purchase:

[Recommended products]

Best regards,
[Your Company]"
15,Kyle Banks,HoveringHedgehog@spinmail.net,Connect-Your-Workflow Puzzle,Simplest puzzle ever! only needed about 6 peices ,"Dear Kyle Banks,

Thank you for purchasing the Connect-Your-Workflow Puzzle.
We're sorry to hear about your experience with Connect-Your-Workflow Puzzle. We're here to help. Here are some products you might also like based on your purchase:

[Recommended products]

Best regards,
[Your Company]"
16,Samantha Riddle,CosmicCucumber@spaceveg.com,Node Noodle Bowl,It fits so much inside it! It's the only bowl I'll ever need!,"Dear Samantha Riddle,

Thank you for purchasing the Node Noodle Bowl.
We're thrilled you're enjoying the Node Noodle Bowl! Here are some products you might also like based on your purchase:

[Recommended products]

Best regards,
[Your Company]"
17,Mitchell Danson,BurgerBard@foodfables.net,n8n No-Spill Node Mug,Is this black magic? How does it work so well? 100% buy this,"Dear Mitchell Danson,

Thank you for purchasing the n8n No-Spill Node Mug.
We're thrilled you're enjoying the n8n No-Spill Node Mug! Here are some products you might also like based on your purchase:

[Recommended products]

Best regards,
[Your Company]"
18,Bethany Harrow,PizzaPirate@treasuretoppings.com,API-scented Candle,"Great candle, even better indicator of my workflow errors","Dear Bethany Harrow,

Thank you for purchasing the API-scented Candle.
We're thrilled you're enjoying the API-scented Candle! Here are some products you might also like based on your purchase:

[Recommended products]

Best regards,
[Your Company]"
19,Jared Higgins,MidnightMuffin@nightbakes.com,Infinite Loop Infinity Scarf,Void black was the only colour avaliable but I love it,"Dear Jared Higgins,

Thank you for purchasing the Infinite Loop Infinity Scarf.
We're thrilled you're enjoying the Infinite Loop Infinity Scarf! Here are some products you might also like based on your purchase:

[Recommended products]

Best regards,
[Your Company]"
